Change component parameters: Designator = "U6" ("U6"); Footprint = "NCV5501DT50RKG"; UniqueID = "\NDOASKLO" ("\NDOASKLO")
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.21, 10=0.195, 100=0.1352, 500=0.1144, 1000=0.0936, 5000=0.0832, 10000=0.0754 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "4956"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "609-3305-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination Post Length"; Value = "3.81mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "1.5kV"; VariantName = "[No Variations]"
Added Component: Designator=R?(R0805)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/12667/rc0805-12667397.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/12667/rc0805-12667397.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/15190/getdatasheetpartid-251869-15190044.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/15190/getdatasheetpartid-251869-15190044.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/7941/442941-7941935.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/7941/442941-7941935.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "Thick Film"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin,Lead,Matte"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "RC0805JR-072K2L"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pricing 1"; Value = "1=0.1, 10=0.019, 100=0.0076, 1000=0.0034, 2500=0.003 (USD)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "2.2kR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "810523"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "311-2.2KARCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "5%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=R?-2
Added Net: Name=GND
Added Pin To Net: NetName=NetJP?_1 Pin=JP?-1
Added Pin To Net: NetName=NetJP?_1 Pin=JP?-1
Added Pin To Net: NetName=NetJP?_1 Pin=R?-1
Added Net: Name=NetJP?_1
Added Pin To Net: NetName=NetJP?_2 Pin=JP?-2
Added Pin To Net: NetName=NetJP?_2 Pin=JP?-2
Added Net: Name=NetJP?_2
Added Pin To Net: NetName=NetJP?_3 Pin=JP?-3
Added Pin To Net: NetName=NetJP?_3 Pin=JP?-3
Added Net: Name=NetJP?_3
Added Pin To Net: NetName=NetJP?_4 Pin=JP?-4
Added Pin To Net: NetName=NetJP?_4 Pin=JP?-4
Added Net: Name=NetJP?_4
Added Member To Class: ClassName=IMD Member=Component JP? 68002-404HLF
Added Member To Class: ClassName=IMD Member=Component JP? 68002-404HLF
Added Member To Class: ClassName=IMD Member=Component R? 2.2k
